86711	4492	similarly themed Yi Yi	2
86712	4492	Yi Yi	2
86713	4492	Yi	2
86714	4492	, but I found What Time ?	2
86715	4492	, but I found What Time	2
86716	4492	I found What Time	2
86717	4492	found What Time	2
86718	4493	Nohe 's documentary about the event is sympathetic without being gullible : He is n't blind to the silliness , but also captures moments of spontaneous creativity and authentic co-operative interaction .	3
86719	4493	Nohe 's documentary about the event is sympathetic without being gullible : He is n't blind to the silliness , but also captures moments of spontaneous creativity and authentic co-operative interaction	3
86720	4493	Nohe 's documentary about the event is sympathetic without being gullible :	2
86721	4493	Nohe 's documentary about the event is sympathetic without being gullible	3
86722	4493	Nohe 's documentary about the event	2
86723	4493	Nohe 's documentary	2
86724	4493	Nohe 's	2
86725	4493	Nohe	2
86726	4493	about the event	2
86727	4493	the event	2
86728	4493	is sympathetic without being gullible	3
86729	4493	sympathetic without being gullible	3
86730	4493	without being gullible	2
86731	4493	being gullible	1
86732	4493	gullible	2
86733	4493	He is n't blind to the silliness , but also captures moments of spontaneous creativity and authentic co-operative interaction	3
86734	4493	is n't blind to the silliness , but also captures moments of spontaneous creativity and authentic co-operative interaction	4
86735	4493	is n't blind to the silliness , but	2
86736	4493	is n't blind to the silliness ,	2
86737	4493	is n't blind to the silliness	2
86738	4493	blind to the silliness	1
86739	4493	to the silliness	2
86740	4493	also captures moments of spontaneous creativity and authentic co-operative interaction	3
86741	4493	captures moments of spontaneous creativity and authentic co-operative interaction	3
86742	4493	moments of spontaneous creativity and authentic co-operative interaction	3
86743	4493	of spontaneous creativity and authentic co-operative interaction	3
86744	4493	spontaneous creativity and authentic co-operative interaction	3
86745	4493	spontaneous creativity and	3
86746	4493	spontaneous creativity	3
86747	4493	authentic co-operative interaction	2
86748	4493	co-operative interaction	2
86749	4493	co-operative	2
86750	4494	A film of ideas and wry comic mayhem .	3
86751	4494	A film of ideas and wry comic mayhem	4
86752	4494	of ideas and wry comic mayhem	2
86753	4494	ideas and wry comic mayhem	3
86754	4494	wry comic mayhem	3
86755	4494	comic mayhem	2
86756	4495	There 's something to be said for a studio-produced film that never bothers to hand viewers a suitcase full of easy answers .	3
86757	4495	's something to be said for a studio-produced film that never bothers to hand viewers a suitcase full of easy answers .	3
86758	4495	's something to be said for a studio-produced film that never bothers to hand viewers a suitcase full of easy answers	3
86759	4495	something to be said for a studio-produced film that never bothers to hand viewers a suitcase full of easy answers	3
86760	4495	to be said for a studio-produced film that never bothers to hand viewers a suitcase full of easy answers	3
86761	4495	be said for a studio-produced film that never bothers to hand viewers a suitcase full of easy answers	3
